Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
ABALONE,67.33,147,18.365,3.77,1.67,8.53,0,0,0.034,0.003495,0.052,0.2035,0.267,0.446,8.85E-04,2.12E-04,5.50E-05,4.83E-05,0.0019,2.05E-04,1.15E-04,0.0017,0.002935,1.50E-04,9.50E-06,4.50E-06,5.00E-06,1.25E-05,0.065,7.10E-07,2.00E-06,0,0,0,0,0,0.004,0,2.30E-05,0.8975,1.424,0.89,0.0895,1.80E-06
ABIYUCH,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,0.008,0.00161,0.024,0.047,0.304,0.02,3.10E-04,5.70E-05,1.82E-04,0,0.0541,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,0,0,0,0,0.014,0,0,0,3.00E-05
ACEROLA,91.41,32,0.4,0.3,0.2,7.69,1.1,0,0.012,2.00E-04,0.018,0.011,0.146,0.007,1.00E-04,8.60E-05,0,6.00E-07,1.6776,2.00E-05,6.00E-05,4.00E-04,3.09E-04,9.00E-06,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0.068,0.082,0.09,0,2.30E-04
ACEROLA JUICE,94.3,23,0.4,0.3,0.2,4.8,0.3,4.5,0.01,5.00E-04,0.012,0.009,0.097,0.003,1.00E-04,8.60E-05,0,1.00E-07,1.6,2.00E-05,6.00E-05,4.00E-04,2.05E-04,4.00E-06,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,3.05E-04,0,0,1.70E-05,1.80E-04,0,1.40E-06,0.068,0.082,0.09,0,1.53E-04
ACORN FLOUR,6,501,7.49,30.17,1.69,54.65,0,0,0.043,0.00121,0.11,0.103,0.712,0,6.40E-04,6.11E-04,0.001743,0,0,1.46E-04,1.54E-04,0.002382,9.31E-04,6.88E-04,1.14E-04,0,1.14E-04,1.14E-04,0,0,0,0,0,0,0,0,0,0,0,3.923,19.11,5.813,0,1.53E-05
ACORNS,16.48,448,7.125,27.635,1.565,47.205,0,0,0.0475,9.15E-04,0.072,0.091,0.624,0,5.90E-04,7.20E-04,0.00135,0,0,1.31E-04,1.36E-04,0.0021165,8.27E-04,6.12E-04,1.01E-04,0,1.01E-04,1.01E-04,0,0,0,0,0,0,0,0,0,0,0,3.593,17.5025,5.324,0,5.85E-06
AGAVE,65.4,135,0.99,0.29,1.32,32,10.6,20.87,0.46,0.00355,0.055,0.009,0.127,0.014,2.50E-04,1.38E-04,1.42E-04,4.00E-07,3.00E-04,2.10E-05,9.90E-05,1.62E-04,4.10E-05,8.70E-05,7.00E-06,0,7.00E-06,7.00E-06,0.0088,0,0,0,2.20E-05,0,0,0,3.60E-04,0,4.90E-06,0,0,0,0,1.11E-05
AGUTUK,47.3,353,9,31.8,3.6,10.5,0.5,0,0.012,3.00E-04,0.016,0.134,0.206,0.024,4.70E-04,3.00E-05,9.50E-05,0,0.00255,6.00E-05,6.00E-05,0.00143,9.85E-04,1.20E-04,3.50E-06,0,3.50E-06,0,0,4.83E-06,0,0,0,0,0,0,0.00318,0,0,7.7,14.4,8.4,0.026,1.68E-04
ALFALFA SEEDS,92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,0.032,9.60E-04,0.027,0.07,0.079,0.006,9.20E-04,1.57E-04,1.88E-04,6.00E-07,0.0082,7.60E-05,1.26E-04,4.81E-04,5.63E-04,3.40E-05,3.60E-05,0,3.60E-05,3.60E-05,0.0144,0,0,6.00E-06,8.70E-05,6.00E-06,0,0,2.00E-05,0,3.05E-05,0.069,0.056,0.409,0,4.65E-05
ALLSPICE,8.46,263,6.09,8.69,4.65,72.12,21.6,0,0.661,0.00706,0.135,0.113,1.044,0.077,0.00101,5.53E-04,0.002943,2.70E-06,0.0392,1.01E-04,6.30E-05,0.00286,0,2.10E-04,3.60E-05,0,3.60E-05,3.60E-05,0,0,0,0,0,0,0,0,0,0,0,2.55,0.66,2.36,0,1.62E-04
